kid,schlag ,k.typ,ko.a,ko.d,w.t,w.b,k.z,block,aves,mamm,invert,fl.kot,q.typ,fl.art,fl.ges,fl.m,fl.w,fl.ad,fl.juv
m025,m,mk,10,3,35,s,i,ne,m,n,n,0,0,n,0,0,0,0,0
m026,m,mk,10,3,35,s,i,n,n,n,n,1,0,n,0,0,0,0,0
m026,m,mk,13,NA,NA,NA,sb,n,k,n,n,1,0,n,0,0,0,0,0
m027,m,fk,10,3,35,s,lb,n,n,n,n,1,0,n,0,0,0,0,0
m027,m,fk,13,NA,NA,NA,sb,b,m,n,n,1,5,M.nattereri,1,1,0,1,0
m028,m,svk,10,3,35,s,i,n,m,n,n,1,0,n,0,0,0,0,0
m029,m,mk,10,3,35,s,i,n,m,n,n,1,5,M.nattereri,9,NA,NA,NA,NA
m029,m,mk,13,NA,NA,NA,sb,b,m,n,n,0,0,n,0,0,0,0,0
m030,m,mk,10,3,35,s,i,n,m,n,s,1,0,n,0,0,0,0,0
m031,m,bgk,10,3,35,s,lb,n,n,n,n,1,0,n,0,0,0,0,0
m031,m,bgk,13,NA,NA,NA,sb,n,NA,n,n,1,0,n,0,0,0,0,0
m032,m,fk,10,3,35,s,sb,n,n,n,n,1,0,n,0,0,0,0,0
m032,m,fk,13,NA,NA,NA,sb,b,m,n,n,0,0,n,0,0,0,0,0
m033,m,fk,10,3,35,s,lb,n,n,n,n,1,0,n,0,0,0,0,0
m033,m,fk,13,NA,NA,NA,sb,b,m,n,n,0,0,n,0,0,0,0,0
m034,m,hfk,10,3,35,s,i,n,n,n,n,1,0,n,0,0,0,0,0
m035,m,bgk,10,3,35,s,i,n,k,n,n,0,0,n,0,0,0,0,0
m036,m,hfk,10,3,35,s,i,n,bl,n,n,0,0,n,0,0,0,0,0
m036,m,hfk,13,NA,NA,NA,sb,n,k,n,n,1,0,n,0,0,0,0,0
m037,m,NA,13,NA,NA,NA,NA,n,m,n,n,1,0,n,0,0,0,0,0
m038,m,NA,13,NA,NA,NA,i,n,n,n,n,1,0,n,0,0,0,0,0
m039,m,NA,13,NA,NA,NA,i,b,m,n,n,1,0,n,0,0,0,0,0
m040,m,fk,10,3,35,s,i,n,n,n,n,1,0,n,0,0,0,0,0
m040,m,fk,13,NA,NA,NA,sb,n,n,n,wn,0,0,n,0,0,0,0,0
m041,m,mk,13,NA,NA,NA,lb,n,n,n,n,1,5,M.myotis,1,1,0,1,0
m042,m,mk,13,NA,NA,NA,lb,n,k.m,n,n,1,0,n,0,0,0,0,0
x001,NA,NA,13,NA,NA,NA,NA,n,m,n,n,1,0,n,0,0,0,0,0
bb001,bb,bgk,10,4,21,b,i,n,k.m,n,n,1,0,n,0,0,0,0,0
bb001,bb,bgk,11,1,27,s,i,n,m,n,s,1,5,M.nattereri,1,1,0,1,0
bb002,bb,dk,11,1,27,s,i,n,m,n,s,1,0,n,0,0,0,0,0
bb003,bb,dk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
bb003,bb,dk,11,1,27,s,i,n,m,n,n,1,0,n,0,0,0,0,0
bb004,bb,fk,10,4,21,b,lb,n,n,n,n,0,0,n,0,0,0,0,0
bb004,bb,fk,11,2,19,b,sb,n,n,n,nv.w,1,0,n,0,0,0,0,0
bb005,bb,mk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
bb005,bb,mk,11,2,19,b,sb,n,m,n,n,1,5,M.nattereri,25,NA,NA,NA,NA
bb006,bb,mk,10,4,21,b,lb,n,m,n,n,1,0,n,0,0,0,0,0
bb006,bb,mk,11,2,19,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
bb007,bb,mk,10,4,21,b,i,n,m,n,n,1,0,n,0,0,0,0,0
bb007,bb,mk,11,2,19,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
bb008,bb,mk,10,4,21,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
bb008,bb,mk,11,2,19,b,sb,n,m,n,n,1,0,n,0,0,0,0,0
