kid,schlag,knr,ktyp,gpsr,gpsh,koa,kod,wt,wb,kz,vn,aves,mamm,invert,flkot,qtyp,flart,flges,flm,flw,flad,fljuv
e001,e,668,NA,4468333,5391315,13,NA,NA,NA,i,1,3,0,0,1,0,0,0,0,0,0,0
e002,e,41,fk,4468089,5391911,10,4,21,b,i,0,0,0,0,1,0,0,0,0,0,0,0
e003,e,519,sfk,4468160,5391966,10,4,21,b,i,0,0,0,0,1,5,M.myotis,1,1,0,1,0
e004,e,653,mk,4468088,5391910,10,4,21,b,sb,1,2,0,0,1,0,0,0,0,0,0,0
g001,g,1,fk,4466050,5391476,10,5,23,w,i,0,0,0,0,1,0,0,0,0,0,0,0
g001,g,1,fk,4466050,5391476,13,NA,NA,NA,i,1,2,0,0,1,0,0,0,0,0,0,0
g002,g,104,bgk,4465454,5391589,10,5,23,w,i,0,1,0,0,1,0,0,0,0,0,0,0
g002,g,104,bgk,4465454,5391589,13,NA,NA,NA,sb,3,2,0,0,0,0,0,0,0,0,0,0
g003,g,971,bgk,4465723,5391985,10,5,23,w,i,1,1,0,0,1,0,0,0,0,0,0,0
g003,g,971,bgk,4465723,5391985,13,NA,NA,NA,i,5,3,0,0,1,0,0,0,0,0,0,0
g004,g,973,bgk,4465689,5391936,10,5,23,w,i,1,4,0,0,NA,0,0,0,0,0,0,0
g004,g,973,bgk,4465689,5391936,13,NA,NA,NA,i,3,2,0,0,0,0,0,0,0,0,0,0
g006,g,934B,bgk,4466003,5391565,10,5,23,w,i,1,1,0,0,1,0,0,0,0,0,0,0
g007,g,F2,bgk,4465761,5392001,10,5,23,w,i,1,2,0,0,1,5,M.nattereri,1,1,0,1,0
m001,m,3,sfk,4468375,5393600,10,3,35,s,i,0,0,0,0,1,0,0,0,0,0,0,0
m002,m,4,NA,NA,NA,13,NA,NA,NA,i,1,1,0,0,1,0,0,0,0,0,0,0
m003,m,9,bgk,4468172,5393362,10,3,35,s,lb,1,2,0,0,0,0,0,0,0,0,0,0
m003,m,9,bgk,4468172,5393362,13,NA,NA,NA,sb,2,2,0,0,1,0,0,0,0,0,0,0
m004,m,12,sfk,4468091,5393535,10,3,35,s,lb,1,0,0,1,0,0,0,0,0,0,0,0
m004,m,12,sfk,4468091,5393535,13,NA,NA,NA,sb,0,0,0,0,1,0,0,0,0,0,0,0
m005,m,217,NA,NA,NA,13,NA,NA,NA,NA,1,2,0,0,1,0,0,0,0,0,0,0
m006,m,315,svk,4468201,5393653,10,3,35,s,i,1,2,0,0,1,0,0,0,0,0,0,0
m006,m,315,svk,4468201,5393653,13,NA,NA,NA,sb,1,2,0,0,1,5,Pip,1,NA,NA,NA,NA
m007,m,316,svk,4468089,5393634,10,3,35,s,i,1,0,0,1,0,0,0,0,0,0,0,0
m007,m,316,svk,4468089,5393634,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0
m008,m,320,bgk,4468205,5393636,10,3,35,s,i,0,0,0,0,1,0,0,0,0,0,0,0
m008,m,320,bgk,4468205,5393636,13,NA,NA,NA,sb,i,4,0,1,1,0,0,0,0,0,0,0
m009,m,320,mk,4468576,5393188,10,3,35,s,i,1,2,0,0,1,0,0,0,0,0,0,0
m009,m,320,mk,4468576,5393188,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0
m010,m,322,mk,4468533,5393242,10,3,35,s,i,1,2,0,0,1,0,0,0,0,0,0,0
m011,m,323,mk,4468503,5393291,10,3,35,s,sb,1,2,0,0,1,0,0,0,0,0,0,0
m013,m,335,mk,4468239,5393582,10,3,35,s,i,1,2,0,0,1,0,0,0,0,0,0,0
m014,m,336,mk,4468216,5393601,10,3,35,s,i,1,1,0,0,0,0,0,0,0,0,0,0
m014,m,336,mk,4468216,5393601,13,NA,NA,NA,sb,1,1,0,0,1,5,Pip.pygmaeus,1,1,0,1,0
m015,m,341,NA,NA,NA,13,NA,NA,NA,NA,0,0,0,0,1,5,M.nattereri,7,NA,NA,5,2
m016,m,350,NA,NA,NA,13,NA,NA,NA,i,0,0,0,0,1,5,Plec.auritus,NA,NA,NA,NA,NA
m017,m,376,NA,4468238,5393331,13,NA,NA,NA,sb,2,2,0,0,1,0,0,0,0,0,0,0
m018,m,378,mk,4468183,5393421,10,3,35,s,i,1,2,0,0,1,0,0,0,0,0,0,0
m018,m,378,mk,4468183,5393421,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0
m019,m,380,mk,4468109,5393529,10,3,35,s,lb,1,2,0,0,1,5,M.daubentonii,1,1,0,1,0
m019,m,380,mk,4468109,5393529,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0
m020,m,383,mk,4468089,5393597,10,3,35,s,i,1,2,0,0,1,5,Plec.auritus,16,NA,NA,NA,NA
m020,m,383,mk,4468089,5393597,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0
m021,m,384,mk,4468081,5393641,10,3,35,s,i,1,2,1,0,1,0,0,0,0,0,0,0
m022,m,386,NA,NA,NA,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0
m023,m,388,bgk,4468235,5393193,10,3,35,s,lb,1,1,0,0,0,0,0,0,0,0,0,0
m023,m,388,bgk,4468235,5393193,13,NA,NA,NA,sb,1,1,0,0,1,5,M.nattereri,4,NA,NA,3,1
m024,m,390,NA,4468208,5393104,13,NA,NA,NA,sb,1,3,0,0,1,0,0,0,0,0,0,0
