Header,Datenstruktur,Bedeutung,Werteliste
kid,nicht statistisch verwertbar,Kasten-identifikationsnummer,e001="Eberhard 001"
schlag,unabhängig: faktoriell,Schlag im Forst,e=Eberhard g=Großholz m=Mitterbachl bb=Buchberg
knr,nicht statistisch verwertbar,Kasten-Nummer auf Deckel,...
ktyp,unabhängig: faktoriell,Kastentyp,fk="Flederauskasten Faulstich" sfk="Feldermauskasten Schwegler" mk="Meisenkasen Faulstich" bgk="Bayerischer Giebelkasten" svk="Schwegler Vogelnistkasten" bk=Baumläuferkasten hfk="Flachkasten (Holz)" dk=Dreieckskasten
gpsr,nicht statistisch verwertbar ,GPS-Rechtswert,...
gpsh,nicht statistisch verwertbar,GPS-Hochwert,...
koa,unabhängig: integer,Kontrolljahr,...
kod,nur innerhalb subset(koa): unabhängig: integer,Kontrolltag,...
wt,unabhängig: kontinuierlich,Tagestemperatur [°C],...
wb,unabhängig: faktoriell,Witterungbedingungen,s=sonnig b=bewölkt w=wechselhaft r=regnerisch
kz,unabhängig: faktoriell / abhängig: integer,Kastenzustand,i=intakt lb="leicht beschädigt" sb="stark beschädigt" d="defekt"
vn,unabhängig: faktoriell / abhängig: integer,Vornutzer,0=keine 1=Nest 2=brütend 3=Jungvögel 4=Staat(Insekten) 5=Nistversuch 6=anwesend
aves,unabhängig: faktoriell / abhängig: nicht in dieser Struktur,Vögel,0=keine 1=Kleiber 2=Meise 3="Kleiber dann Meise" 4="Meise dann Kleiber" 5=Baumläufer 6="Tannenmeise Kleiber Meise" 7="Tannenmeise Meise" 8=Tannenmeise 9="Meise Tannenmeise" 10=Schäpper 11=Kohlmeise 12=Blaumeise
mamm,unabhängig: faktoriell / abhängig: nicht in dieser Struktur,Säuger,0=keine 1=Haselmaus 2=Waldmaus
invert,unabhängig: faktoriell / abhängig: nicht in dieser Struktur,Invertebraten,0=keine 1=Wespen 2=Hornissen 3=Ameisen 4=Milben 5=Hummeln
flkot,unabhängig: faktoriell / abhängig: integer,flkot,0=nein 1=ja
qtyp,unabhängig: faktoriell,Quartiertyp,0=negativ 1=Wiederfund 2=Einzeltier 3=Sonstiges 4=Paarungsquartier 5=Wochenstube
flart,unabhängig: faktoriell,Fledermaus-Art,0=negativ
flges,abhängig: integer,Gesamtanzahl,...
flm,abhängig: integer,Mindestanzahl männlich,...
flw,abhängig: integer,Mindestanzahl weiblich,...
flad,abhängig: integer,Mindestanzahl adult,...
fljuv,abhängig: integer,Mindestanzahl juvenil,...
sonstiges,nicht statistisch verwertbar,Bemerkungsfeld,1="verklebter Cluster" 2=umgehängt 3=Mausohrgeruch 4="nicht gereinigt" 5="sehr hoch" 6="schwer erreichbar" 7=freigeschnitten 8="Baum instabil" 9="Nummer geändert" 10="tiefer gehängt" 11="" 12=eingewachsen 13="neuer Deckel" 14=ersetzt 15="wieder aufgehängt" 16="hängt schief" 17="Deckel mitgenommen" 18=repariert 19="nicht kontrolliert" 20=Flügeldecken 21="Spechthöhle nebenan" 22="trächtige Weibchen"
